10.12.2023                                                                                                                                                                                                                                                                                              Salida dinámica de lista                                                                                                                                                                                                                                                                                                     1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Lista de pedidos

Solicitante 0000055464
            COMERCIAL KYWI S.A.
            QUITO
Fecha doc.  10.11.2023     A    10.12.2023
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Documento|Nombre 1           |Pos.|Destinatario       |Destino        |Rep.|CDis|CPag|Prc.neto|Denominación                            |Ctd.conf.|Creado |ClVt|Pedido  |Fecha doc.|Pedido  |Lote|Fe.entrega|Status            |Válido de |Ce. |UMB|Validez a |BF|Solic.|Tp.cambio|Ctd.ped.|Alm.|BqEn|Material      |Prec.Clien|P|UM|MonCd|por|UM| Valor neto|      Neto|Se|S|OfVta|GVen|OrgVt|UM|PsEx|Sal.mcías.|Mon.|Ctd.ped.|Denom.|MoPed|MR|PbP|Dir.sol.|Tp.DC|D/H|Fe.precio |UMB|PUFinal|% Cond|Sal.Cont A|UPA|Creado el |Net Sa CA|Hora    |MonP.|Fac.SAP.|Num.SII.|CPagDesc|FeFac|FechasFacturac         |LP|ListaPrec   |GP|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  4021430  |COMERCIAL KYWI S.A.|  10|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|  42,30 |Combo Master Andes s/p Cross Sencilla   |      60 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     60 |    |    |JSP321801301CE|          | |  |     | 1 |UN|299.738,32 | 2.538,00 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     60 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.|  20|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Taza Campeón RF Blanco                  |      60 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     60 |    |    |SS0042621301B0|          | |  |     | 1 |UN|299.738,32 |     0,00 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     60 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.|  30|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Tanque Master Blanco Caja Edesa         |      60 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     60 |    |    |CS0021801301CE|          | |  |     | 1 |UN|299.738,32 |     0,00 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     60 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.|  40|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Asiento Universal Std. RF Blanco        |      60 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     60 |    |    |SP2095811301BO|          | |  |     | 1 |UN|299.738,32 |     0,00 |51|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     60 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.|  50|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Lavamanos Andes Blanco                  |      60 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     60 |    |    |CS0055611301CE|          | |  |     | 1 |UN|299.738,32 |     0,00 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     60 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.|  60|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Shelby ABS Llave Sencilla para Lavamanos|      60 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     60 |    |    |SG0074013061BO|          | |  |     | 1 |UN|299.738,32 |     0,00 |54|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     60 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.|  70|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,01 |Vanitorio Oakbrook Blanco               |     500 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|no suministrado   |          |2501|UN |31.12.9999|  |55464 |  1,00000|    500 |    |    |CS0065901301CW|          | |  |     | 1 |UN|299.738,32 |     5,00 |50|A|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |    500 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.|  80|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030| 164,26 |Combo One Piece Ego RF Blanco Pure      |      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |JSP161141301CB|          | |  |     | 1 |UN|299.738,32 | 4.927,80 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.|  90|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |One Piece Ego Pure RF Combo Grif. Blanco|      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |CSP161141301CB|          | |  |     | 1 |UN|299.738,32 |     0,00 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.| 100|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Asiento Crown RF Slow Down Blanco       |      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |SP0096871301CG|          | |  |     | 1 |UN|299.738,32 |     0,00 |51|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.| 110|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Lavamanos New Sibila Blanco             |      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |CS0057261301CB|          | |  |     | 1 |UN|299.738,32 |     0,00 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.| 120|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Pedestal Andiamo Blanco                 |      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |SS0066651301CB|          | |  |     | 1 |UN|299.738,32 |     0,00 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.| 130|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|  49,79 |Combo Campeón Verde M+Lav. Shelby+Doccia|      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |JSCC42620541B0|          | |  |     | 1 |UN|299.738,32 | 1.493,70 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.| 140|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Taza Campeón RF Verde Mist              |      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |SS0042620541B0|          | |  |     | 1 |UN|299.738,32 |     0,00 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.| 150|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Tanque Campeón Verde Mist               |      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |CS0022270541CE|          | |  |     | 1 |UN|299.738,32 |     0,00 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.| 160|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Asiento Universal Std. RF Verde Mist    |      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |SP2095810541BO|          | |  |     | 1 |UN|299.738,32 |     0,00 |51|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.| 170|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Lavamanos Shelby Verde Mist             |      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |CS0057100541CE|          | |  |     | 1 |UN|299.738,32 |     0,00 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.| 180|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030|   0,00 |Doccia Llave Sencilla Lavamanos Cromo   |      30 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     30 |    |    |SG0074073061BO|          | |  |     | 1 |UN|299.738,32 |     0,00 |54|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     30 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
|  4021430  |COMERCIAL KYWI S.A.| 190|COMERCIAL KYWI S.A.|PICHINCHA-QUITO|   1|C4  |Z030| 149,04 |Combo Oasis EF Blanco+Lav.Pomp.+Vitt.Mdo|      10 |GGARCIA|YTA |A1035719|07.12.2023|A1035719|    |11.12.2023|concluido/a       |          |2501|UN |31.12.9999|  |55464 |  1,00000|     10 |    |    |JSP160481301CE|          | |  |     | 1 |UN|299.738,32 | 1.490,40 |50|C|EC01 |500 |ED01 |UN|Y248|11.12.2023|USD |     10 |      |     |  |100|176966  |C    |   |07.12.2023|   |  0,00 | 0,00 |        0 |   |07.12.2023|    0,00 |10:19:37|     |        |        |30 días |YU   |Calendario 365 Dhábiles|Y1|Vta.Normales|Y5|
